W_boson	66.4006 -64.6829 -12.2301 8.4404	33.2866 -3.44781 -31.1034 11.1509
b_quark	76.3782 -17.3648 68.2357 -29.3003	74.8143 -70.0579 21.6431 -14.2535
b_quark	49.8914 -9.45443 -10.1551 47.7406	50.6493 -4.38068 -50.1188 4.09864
b_quark	44.9828 0.131918 6.53336 -44.3089	50.9321 34.4158 30.1396 -21.9946
b_quark	64.0246 43.5653 -46.3401 -6.02781	88.7095 40.6218 -52.8962 -58.3418
W_boson	16.3688 14.9804 2.27984 -5.82927	18.8457 18.6743 1.2166 -0.777256
b_quark	17.4111 -16.5723 -0.176432 3.31714	71.0918 -64.699 -10.7994 27.0921
W_boson	45.4466 42.9099 -14.5375 -2.90745	109.27 33.5602 -44.6798 -93.8776
W_boson	73.9321 -69.298 6.69287 -24.7913	28.2072 -8.88541 5.53375 -26.1098
b_quark	98.0682 -88.0337 42.4142 7.14182	35.6846 -5.95827 34.8561 2.33843
b_quark	34.7948 -0.44674 33.2195 9.45889	54.3068 -2.14368 54.1022 0.322413
b_quark	60.7383 15.2706 -58.332 -5.98719	40.5376 35.3968 -7.17623 -17.9275
Tau	92.9199 78.4209 -28.1423 41.0991	41.5959 14.9867 -11.5798 36.9915
b_quark	54.9944 -4.57016 53.1155 12.8364	55.9165 -45.3586 14.7958 28.8594
b_quark	53.7447 3.97987 -52.7204 8.70273	56.0005 1.28015 -28.9729 47.7233
W_boson	22.8304 -17.4925 8.33666 11.891	50.8504 -20.9357 42.9886 17.1782
b_quark	27.1376 -11.5684 -8.82962 -22.5208	73.1981 -57.5851 -0.13054 -44.9936
b_quark	66.3019 -6.44466 -21.4368 62.2687	58.3284 -11.7438 -45.1061 34.8175
b_quark	18.1497 -1.25431 -2.27875 -17.4692	45.7426 -32.0317 -26.856 -18.1008
b_quark	61.458 7.14565 -60.8977 -0.1404	92.4813 21.1295 -31.5657 -84.2168
W_boson	47.5927 -0.179104 -47.2563 5.24715	26.6964 -1.59649 -2.20004 26.4756
W_boson	80.1654 -11.6054 -76.7093 20.0782	113.197 -88.0617 -3.11674 71.0249
Tau	56.6098 -17.035 -18.6417 50.634	87.1243 -49.8837 -58.0698 41.5572
b_quark	72.0015 -47.6259 -27.3717 -46.3607	24.1505 -8.29605 -21.7158 -5.03717
b_quark	70.8624 7.47974 70.2096 4.32124	8.65659 2.36594 0.120259 7.20084
b_quark	96.3516 59.9394 39.8019 63.9471	43.1123 20.4598 12.1376 35.711
b_quark	65.4228 -2.56088 42.3948 49.5862	24.0658 -22.4311 6.7096 3.67645
b_quark	98.7103 8.24961 -77.5505 60.3665	24.0014 20.0834 -1.95587 12.3056
b_quark	36.2702 16.3445 -31.9603 3.07477	116.007 69.8506 -9.80646 92.0052
W_boson	42.0374 24.8291 -11.9897 31.6632	68.3818 41.3047 -50.0859 21.3786
b_quark	70.168 -51.394 -19.3567 -43.4748	46.3059 -42.1383 -5.55591 -17.8957
b_quark	34.269 17.1319 9.84286 27.6858	28.1153 2.25762 0.0528317 27.711
b_quark	63.8509 31.1945 52.9095 16.9399	86.1206 10.4852 23.8035 81.9923
W_boson	47.7716 -0.0128319 45.2575 15.1503	23.311 -0.0325383 4.42945 22.7911
b_quark	67.6309 -59.3431 -23.818 21.6234	64.1042 -6.41149 -19.6165 60.5472
Tau	27.8344 -4.74932 27.0158 4.38075	55.9322 -15.3891 53.4829 5.29228
b_quark	56.6273 -31.6004 -43.2812 -17.8137	24.1731 -15.7691 -9.55199 -15.0652
b_quark	37.2045 -7.03251 25.3564 25.9673	39.021 -2.39086 8.06449 37.8737
b_quark	36.2916 5.87053 32.5675 14.3005	41.2783 2.48872 16.6893 37.4393
Tau	48.6955 -5.6223 38.6067 29.0862	13.646 -13.0277 1.84918 3.14928
b_quark	86.0923 -43.5693 -16.2784 72.3267	30.1851 -1.15202 -23.429 18.5316
b_quark	49.7407 48.4379 10.4264 -1.31531	91.9163 32.0229 84.4217 -16.6931
W_boson	49.8577 22.6991 7.97553 -43.6186	51.7175 36.5085 12.4257 -34.3959
b_quark	60.4322 -59.6918 -0.259901 -8.45015	37.2628 -25.7006 -23.0639 -13.3633
b_quark	20.6445 6.68745 10.6913 -15.8018	87.2382 5.1343 29.1146 -81.9695
W_boson	35.2427 -18.2059 2.51818 -29.9985	20.0238 -4.31751 10.6199 -16.2844
b_quark	38.8972 -4.93051 23.3671 -30.4169	79.984 -62.7454 38.2949 -31.2489
b_quark	37.8823 6.40754 -30.1672 -21.598	60.1455 23.2233 -55.2618 -2.61096
b_quark	58.4086 -0.592435 -55.7389 -16.9386	13.1805 -0.756613 -1.01197 -12.4362
b_quark	15.6248 11.2346 -6.08295 7.96518	111.339 67.1952 -6.08696 88.4685
W_boson	26.9416 2.65055 -26.7297 -0.00542912	46.4341 12.677 -44.6215 -0.0275376
W_boson	56.0539 -20.4884 -51.7532 -6.28762	67.1713 -62.9921 -13.6614 -18.7881
Tau	49.7077 -36.8722 -26.2358 20.4898	54.2965 -30.1909 -24.6788 37.7415
b_quark	22.9343 -20.549 9.12276 1.73893	29.6397 -29.3018 0.839984 1.31916
b_quark	19.2807 -11.866 -14.1579 3.60877	81.6656 -17.7603 -3.4 79.5287
W_boson	23.2499 1.78579 -19.283 12.6959	50.0683 11.9406 -0.61238 48.5751
